id,latin,family,common,category,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit,latin_norm,toxicity_animals,toxicity_humans
0,Aeschynanthus lobianus,Gesneriaceae,Lipstick,Hanging,Java,Tropical,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Mealy bug; Aphid; Thrips,,Hanging; Flower; Tertiary,32,89.6,14,57.2,Aeschynanthus lobianus,nietoksyczna,nietoksyczna
1,Adiantum raddianum,Polypodiaceae,Maindenhair; Delta maidenhair,Fern,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Gray mold,Potted plant; Ground cover; Table top,30,86.0,12,53.6,Adiantum raddianum,nietoksyczna,nietoksyczna
2,Aechmea fatsiata,Bromeliaceae,Silver vase,Bromeliad,Brazil,Tropical humid,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Flower; Table top; Tertiary,30,20.0,12,53.6,Aechmea fatsiata,nietoksyczna,może powodować lekkie podrażnienia
3,Agave angustilolia Marginata,Amaryllidaceae,Variegated Carabbean Agave; Century plant,Cactus And Succulent, India,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,,Potted plant; Primary; Secondary,35,95.0,5,41.0,Agave angustilolia Marginata,"toksyczna (podrażnienia, wymioty)","toksyczna (sok drażni skórę, oczy)"
4,Aechmea ramosa,Bromeliaceae,Coral berry,Bromeliad,Brazil,Subtropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Flower; Table top; Primary,30,20.0,12,53.6,Aechmea ramosa,nietoksyczna,może powodować lekkie podrażnienia
5,Aechmea fasciata,Bromeliaceae,Silver vase,Bromeliad,Hybrid,Tropical humid,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Flower; Table top; Tertiary,30,20.0,12,53.6,Aechmea fasciata,nietoksyczna,może powodować lekkie podrażnienia
6,Agave filifera,Amaryllidaceae,Thread Agave; Century plant,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,,Potted plant; Primary; Secondary,35,95.0,5,41.0,Agave filifera,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, układu pokarmowego)"
7,Adiantum hispidulum,Polypodiaceae,Rosy Maidenhair; Autralian maidenhair,Fern,Australia & New Guinea,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug; Aphid; Snail,Gray mold,Table top; Ground cover; Tertiary,30,20.0,12,53.6,Adiantum hispidulum,nietoksyczna,nietoksyczna
8,Agave attenuata,Amaryllidaceae,Dragon tree Agave; Century plant,Cactus And Succulent,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Scale; Mealy bug,,Potted plant; Primary; Secondary,35,95.0,5,41.0,Agave attenuata,toksyczna (problemy żołądkowe),"toksyczna (sok drażniący, oparzenia)"
9,Aglaonema,Araceae,Chinese Evergreen; Amelia,Aglaonema,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,Phytophtora; Crown rot,Potted plant; Secondary; Tertiary,28,82.4,18,64.4,Aglaonema,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)"
